id	orgName	QID	ttu_id
ttu_455_org_0	1st Cavalry Division	Q2338	
ttu_455_org_1	Reserve Officers' Training Corps	Q489983	
ttu_455_org_2	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_3	2nd Infantry Division	Q210607	
ttu_455_org_4	11th Airborne Division	Q169980	
ttu_455_org_5	"Company C, 1st Battalion, 7th Cavalry Regiment"	Q110745354	
ttu_455_org_6	People's Army of Vietnam	Q3936506	
ttu_455_org_7	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_8	General Moore		
ttu_455_org_9	People's Army of Vietnam	Q3936506	
ttu_455_org_10	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_11	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_12	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_13	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_14	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_15	Widener University	Q3443325	
ttu_455_org_16	Officer Candidate School	Q14319576	
ttu_455_org_17	Officer Candidate School	Q14319576	
ttu_455_org_18	11th Airborne Division	Q169980	
ttu_455_org_19	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_20	People's Army of Vietnam	Q3936506	
ttu_455_org_21	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_22	People's Liberation Armed Forces	Q10810255	
ttu_455_org_23	General Moore		
ttu_455_org_24	Bravo Company		
ttu_455_org_25	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_26	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_27	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_28	Ernie		ttu_0035
ttu_455_org_29	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_455_org_30	Widener University	Q3443325	
ttu_455_org_31	Widener University	Q3443325	
ttu_455_org_32	Widener University	Q3443325	
