id	orgName	QID	ttu_id
ttu_491_org_0	2nd Infantry Division	Q210607	
ttu_491_org_1	11th Airborne Division	Q169980	
ttu_491_org_2	1st Cavalry Division	Q2338	
ttu_491_org_3	11th Airborne Division	Q169980	
ttu_491_org_4	Seabee	Q1757145	
ttu_491_org_5	United States Coast Guard	Q11224	
ttu_491_org_6	Seabee	Q1757145	
ttu_491_org_7	Company A, 1st Battalion, 5th Cavalry Regiment	Q111677949	
ttu_491_org_8	National Front for the Liberation of South Vietnam	Q174423	
ttu_491_org_9	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_491_org_10	United States Armed Forces	Q11211	
ttu_491_org_11	1st Cavalry Division	Q2338	
ttu_491_org_12	Lavender’s		
