id	orgName	QID	ttu_id
ttu_502_org_0	Falcon		
ttu_502_org_1	Sergeant Major Plumley		
ttu_502_org_2	People's Army of Vietnam	Q3936506	
ttu_502_org_3	People's Army of Vietnam	Q3936506	
ttu_502_org_4	People's Army of Vietnam	Q3936506	
ttu_502_org_5	National Front for the Liberation of South Vietnam	Q174423	
ttu_502_org_6	People's Army of Vietnam	Q3936506	
ttu_502_org_7	People's Army of Vietnam	Q3936506	
ttu_502_org_8	2nd Battalion, 7th Cavalry Regiment	Q110629367	
ttu_502_org_9	2nd Battalion, 7th Cavalry Regiment	Q110629367	
