id	name
ttu_488_event_0	Ia Drang-Pleiku campaign
ttu_488_event_1	battle of the Ia Drang
ttu_488_event_2	battle of the Ia Drang
ttu_488_event_3	this battle
ttu_488_event_4	that war
ttu_488_event_5	battle
ttu_488_event_6	Christmas truce
ttu_488_event_7	Ia Drang
ttu_488_event_8	Ia Drang
ttu_488_event_9	Ia Drang
ttu_488_event_10	Ia Drang
ttu_488_event_11	battle of the Ia Drang
ttu_488_event_12	Ia Drang campaign
ttu_488_event_13	World War I
ttu_488_event_14	World War II
ttu_488_event_15	World War II
ttu_488_event_16	Ia Drang
ttu_488_event_17	Ia Drang
ttu_488_event_18	Ia Drang
ttu_488_event_19	battle of the Ia Drang
ttu_488_event_20	war
