id	persName	QID	ttu_id
ttu_484_person_0	Richard Verrone	Q111653126	
ttu_484_person_1	Richard I. Merchant	Q111678651	
ttu_484_person_2	Richard I. Merchant	Q111678651	
ttu_484_person_3	Hal Moore	Q430209	
ttu_484_person_4	Hal Moore	Q430209	
ttu_484_person_5	Gregory P. Dillon	Q111442679	
ttu_484_person_6	Gregory P. Dillon	Q111442679	
ttu_484_person_7	Gregory P. Dillon	Q111442679	
ttu_484_person_8	Gregory P. Dillon	Q111442679	
ttu_484_person_9	Gregory P. Dillon	Q111442679	
ttu_484_person_10	Hal Moore	Q430209	
ttu_484_person_11	Hal Moore	Q430209	
ttu_484_person_12	Hal Moore	Q430209	
ttu_484_person_13	Ramon Antonio Nadal	Q111442803	
ttu_484_person_14	Richard I. Merchant	Q111678651	
ttu_484_person_15	Thomas W. Brown	Q111630856	
ttu_484_person_16	Richard I. Merchant	Q111678651	
ttu_484_person_17	Hal Moore	Q430209	
ttu_484_person_18	Gregory P. Dillon	Q111442679	
ttu_484_person_19	Gregory P. Dillon	Q111442679	
ttu_484_person_20	Gregory P. Dillon	Q111442679	
ttu_484_person_21	Gregory P. Dillon	Q111442679	
ttu_484_person_22	Jack Gandy	Q111903168	
ttu_484_person_23	Jack Gandy	Q111903168	
ttu_484_person_24	Jack Gandy	Q111903168	
ttu_484_person_25	Jack Gandy	Q111903168	
ttu_484_person_26	Robert B. Tully	Q111597631	
ttu_484_person_27	Hal Moore	Q430209	
ttu_484_person_28	Charlie Hastings	Q5085005	
ttu_484_person_29	Gerald Grohowski	Q111722487	
ttu_484_person_30	Gregory P. Dillon	Q111442679	
ttu_484_person_31	Charles Hastings	Q111903192	
ttu_484_person_32	Charles Hastings	Q111903192	
ttu_484_person_33	Robert B. Tully	Q111597631	
ttu_484_person_34	Robert B. Tully	Q111597631	
ttu_484_person_35	Gregory P. Dillon	Q111442679	
ttu_484_person_36	Thomas W. Brown	Q111630856	
ttu_484_person_37	Hal Moore	Q430209	
ttu_484_person_38	Myron F. Diduryk	Q16749760	
ttu_484_person_39	Henry Herrick	Q111443617	
ttu_484_person_40	Herman Wirth	Q111908894	
ttu_484_person_41	Richard I. Merchant	Q111678651	
ttu_484_person_42	Juliet F Herrick	Q58854939	
ttu_484_person_43	Carl Palmer	Q111810570	
ttu_484_person_44	Sergeant Paul Hurdle	Q111811586	
ttu_484_person_45	Henry Herrick	Q111443617	
ttu_484_person_46	Carl Palmer	Q111810570	
