id	orgName	QID	ttu_id
ttu_485_org_0	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_1	C Company, 1st Battalion of the 8th Cavalry Regiment	Q111677693	
ttu_485_org_2	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_3	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_4	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_5	1st Squadron, 9th Cavalry Regiment	Q111844723	
ttu_485_org_6	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_7	Company A, 1st Battalion, 8th Cavalry Regiment	Q111677593	
ttu_485_org_8	Company C, 1st Battalion, 7th Cavalry Regiment	Q110745354	
ttu_485_org_9	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_10	National Front for the Liberation of South Vietnam	Q174423	
ttu_485_org_11	People's Army of Vietnam	Q3936506	
ttu_485_org_12	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_13	101st Airborne Division (Air Assault)	Q111844746	
ttu_485_org_14	11th Airborne Division	Q169980	
ttu_485_org_15	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_16	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_17	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_18	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_19	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_20	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_21	1st Battalion, 7th Cavalry Regiment	Q110641589	
ttu_485_org_22	1st Cavalry Division	Q2338	
ttu_485_org_23	Morehouse College	Q1524124	
ttu_485_org_24	Morehouse College	Q1524124	
ttu_485_org_25	Morehouse College	Q1524124	
ttu_485_org_26	Morehouse College	Q1524124	
ttu_485_org_27	United States Department of the Army	Q1328562	
ttu_485_org_28	Fort Campbell	Q1385040	
ttu_485_org_29	C Company, 1st Battalion of the 8th Cavalry Regiment	Q111677693	
ttu_485_org_30	2nd Battalion, 8th Cavalry Regiment	Q111844907	
ttu_485_org_31	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_32	1st Battalion, 8th Cavalry Regiment	Q111599009	
ttu_485_org_33	United States Army	Q9212	
ttu_485_org_34	United States Armed Forces	Q11211	
ttu_485_org_35	United States Army	Q9212	
ttu_485_org_36	Airborne Infantry		
ttu_485_org_37	1st Battalion, 8th Cavalry Regiment	Q111599009	
