id	persName	QID	ttu_id
ttu_533_person_0	Philip F. Napoli	Q111599207	
ttu_533_person_1	Willard M. Bennette	Q114443384	
ttu_533_person_2	Willard M. Bennette	Q114443384	
ttu_533_person_3	Willard M. Bennette	Q114443384	
ttu_533_person_4	Willard M. Bennette	Q114443384	
ttu_533_person_5	John M. Wright	Q66011506	
ttu_533_person_6	Robert Kennon Jayne	Q112342468	
ttu_533_person_7	John M. Wright	Q66011506	
ttu_533_person_8	Robert McDade	Q7347496	
ttu_533_person_9	Robert McDade	Q7347496	
ttu_533_person_10	Bruce Perry Crandall	Q3431327	
ttu_533_person_11	Bruce Perry Crandall	Q3431327	
ttu_533_person_12	Hal Moore	Q430209	
ttu_533_person_13	Hal Moore	Q430209	
ttu_533_person_14	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_15	Robert McDade	Q7347496	
ttu_533_person_16	Robert McDade	Q7347496	
ttu_533_person_17	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_18	Robert McDade	Q7347496	
ttu_533_person_19	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_20	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_21	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_22	Robert Kennon Jayne	Q112342468	
ttu_533_person_23	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_24	Frank Henry	Q111653614	
ttu_533_person_25	Robert Kennon Jayne	Q112342468	
ttu_533_person_26	Lieutenant Colonel Ken Weitzel	Q114443541	
ttu_533_person_27	James W. Spires	Q111653116	
ttu_533_person_28	Robert Kennon Jayne	Q112342468	
ttu_533_person_29	Robert Kennon Jayne	Q112342468	
ttu_533_person_30	Paul Winkel	Q110647727	
ttu_533_person_31	Paul Winkel	Q110647727	
ttu_533_person_32	Lieutenant General George P. Seneff	Q114443603	
ttu_533_person_33	Lieutenant General George P. Seneff	Q114443603	
ttu_533_person_34	Brigadier General Leo E. Soucek	Q114468701	
ttu_533_person_35	Earl Buchanan	Q114468930	
