id	placeName	QID	ttu_id	coordinate location
ttu_461_place_0	LZ X-Ray	Q110624850		13.567944,107.714
ttu_461_place_1	LZ X-Ray	Q110624850		13.567944,107.714
ttu_461_place_2	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_461_place_3	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_461_place_4	Germany	Q183		51,10
ttu_461_place_5	Germany	Q183		51,10
ttu_461_place_6	Germany	Q183		51,10
ttu_461_place_7	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_461_place_8	Fort Wolters	Q5472364		32.8525,-98.0311
ttu_461_place_9	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_461_place_10	Vietnam	Q881		16,108
ttu_461_place_11	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_461_place_12	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_461_place_13	New York	Q1384		43,-75
ttu_461_place_14	New York	Q1384		43,-75
ttu_461_place_15	Charleston	Q47716		32.776111111111,-79.9325
ttu_461_place_16	Charleston	Q47716		32.776111111111,-79.9325
ttu_461_place_17	Panama Canal	Q7350		9.08,-79.68
ttu_461_place_18	Long Beach	Q16739		33.768321,-118.1956168
ttu_461_place_19	Quy Nhon Port	Q7273046		13.766666666666667,109.23333333333333
ttu_461_place_20	Quy Nhon Port	Q7273046		13.766666666666667,109.23333333333333
ttu_461_place_21	Quy Nhon Port	Q7273046		13.766666666666667,109.23333333333333
ttu_461_place_22	Quy Nhon Port	Q7273046		13.766666666666667,109.23333333333333
ttu_461_place_23	An Khê	Q10733203		16.05222222,108.1855556
ttu_461_place_24	United States of America	Q30		39.828175,-98.5795
ttu_461_place_25	Vietnam	Q881		16,108
ttu_461_place_26	Happy Valley, Vietnam	Q110943631		14.150583, 108.957944
ttu_461_place_27	Happy Valley, Vietnam	Q110943631		14.150583, 108.957944
ttu_461_place_28	Mang Yang Pass	Q111029911		14.028432, 108.423858
ttu_461_place_29	Phù Cát	Q7188237		13.955, 109.042222
ttu_461_place_30	National Route 1A	Q494205		15.098604,108.817229
ttu_461_place_31	Ia Drang Valley	Q2904975		13.583333333333,107.71666666667
ttu_461_place_32	Phù Cát	Q7188237		13.955, 109.042222
ttu_461_place_33	Phù Cát	Q7188237		13.955, 109.042222
ttu_461_place_34	National Route 1A	Q494205		15.098604,108.817229
ttu_461_place_35	Vietnam	Q881		16,108
ttu_461_place_36	An Khê	Q10733203		16.05222222,108.1855556
ttu_461_place_37	Happy Valley, Vietnam	Q110943631		14.150583, 108.957944
ttu_461_place_38	Vietnam	Q881		16,108
ttu_461_place_39	Pleiku	Q30599		13.971519,108.014673
ttu_461_place_40	Camp Holloway	Q5027263		13.973,108.031
ttu_461_place_41	Camp Holloway	Q5027263		13.973,108.031
ttu_461_place_42	Camp Holloway	Q5027263		13.973,108.031
