id	placeName	QID	ttu_id	coordinate location
ttu_481_place_0	Hilton Crystal City at Washington Reagan National Airport	Q110624980		"38.852191,-77.052014"
ttu_481_place_1	Virginia	Q1370		"37.5,-79"
ttu_481_place_3	Charlottesville	Q123766		"38.0299,-78.479"
ttu_481_place_4	Monticello	Q199618		"38.008889,-78.453333"
ttu_481_place_5	North Carolina	Q1454		"35.5,-80"
ttu_481_place_6	Louisiana	Q1588		"31,-92"
ttu_481_place_7	Louisiana	Q1588		"31,-92"
ttu_481_place_8	Lake Charles	Q864106		"30.214722222222,-93.208611111111"
ttu_481_place_9	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_481_place_10	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_481_place_11	Vietnam	Q881		"16,108"
ttu_481_place_12	South Korea	Q884		"36, 128"
ttu_481_place_13	Southern Pines	Q2028106		"35.181944, -79.398333"
ttu_481_place_14	Louisiana	Q1588		"31, -92"
ttu_481_place_15	North Carolina	Q1454		"35.5,-80"
ttu_481_place_16	Lake Charles	Q864106		"30.214722, -93.208611"
ttu_481_place_17	Lake Charles	Q864106		"30.214722, -93.208611"
ttu_481_place_18	Arlington National Cemetery	Q216344		"38.879167, -77.072222"
ttu_481_place_19	Arlington National Cemetery	Q216344		"38.879167, -77.072222"
ttu_481_place_20	Vietnam	Q881		"16,108"
ttu_481_place_21	West Virginia	Q1371		"39, -80.5"
ttu_481_place_22	Monticello	Q199618		"38.008889, -78.453333"
ttu_481_place_23	United States of America	Q30		"39.828175, -98.5795"
ttu_481_place_24	North Carolina	Q1454		"35.5,-80"
ttu_481_place_25	Arlington National Cemetery	Q216344		"38.87916666666667,-77.07222222222222"
ttu_481_place_26	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_481_place_27	Lake Charles	Q864106		"30.214722222222,-93.208611111111"
ttu_481_place_28	Pacific Northwest	Q12603		"45.8288,-120.32227"
ttu_481_place_29	Florida	Q812		"28.133333333333,-81.631666666667"
ttu_481_place_30	Vietnam	Q881		"16,108"
