id	placeName	QID	ttu_id	coordinate location
ttu_455_place_0	"Washington, D.C."	Q61		"38.895,-77.036666666667"
ttu_455_place_1	Hilton Crystal City	Q110624980		"38.85273695571491,-77.0517220465822"
ttu_455_place_2	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_455_place_3	Vietnam	Q881		"16,108"
ttu_455_place_4	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_455_place_5	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_455_place_6	The Carolinas	Q2747220		"34.797,-79.683"
ttu_455_place_7	Vietnam	Q881		"16,108"
ttu_455_place_8	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_9	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_455_place_10	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_11	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_13	Upatoi Creek	Q7898186		"32.4029,-84.8889"
ttu_455_place_14	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_15	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_16	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_17	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_18	LZ Falcon	Q110624865		"13.62278,107.76417"
ttu_455_place_19	Holloway	Q5027263		"13.973, 108.031"
ttu_455_place_20	Holloway	Q5027263		"13.973, 108.031"
ttu_455_place_21	Qui NhÆ¡n	Q36081		"13.769580555555555,109.23137222222222"
ttu_455_place_22	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_23	Qui NhÆ¡n	Q36081		"13.769580555555555,109.23137222222222"
ttu_455_place_24	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_25	Fort Benning	Q1438462		"32.366111111111,-84.969166666667"
ttu_455_place_26	Auburn	Q79728		"32.597684,-85.480823"
ttu_455_place_29	LZ X-Ray	Q110624850		"13.567944,107.714"
ttu_455_place_30	Ia DrÄƒng	Q2904975		"13.583333, 107.716667"
ttu_455_place_31	LZ Albany	Q110624853		"13.59528,107.71528"
ttu_455_place_32	"Washington, D.C."	Q61		"38.895,-77.036666666667"
ttu_455_place_33	Vietnam Veterans Memorial	Q713628		"38.891111111111,-77.047777777778"
ttu_455_place_34	Chicago	Q1297		"41.881944444444,-87.627777777778"
ttu_455_place_35	United States of America	Q30		"39.828175,-98.5795"
ttu_455_place_36	Vietnam	Q881		"16,108"
ttu_455_place_37	Kelley Hill	Q110888302		"32.38325815053565,-84.89875257096901"
