id	placeName	QID	ttu_id	coordinate location
ttu_471_place_0	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_1	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_2	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_3	Korea	Q18097		38.316666666667,127.23333333333
ttu_471_place_4	Korea	Q18097		38.316666666667,127.23333333333
ttu_471_place_5	Fort Devens	Q1413867		42.545022222222,-71.613336111111
ttu_471_place_6	Fort Devens	Q1413867		42.545022222222,-71.613336111111
ttu_471_place_7	Korea	Q18097		38.316666666667,127.23333333333
ttu_471_place_8	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_9	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_10	Vietnam	Q881		16,108
ttu_471_place_11	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_12	Phu Bai Combat Base	Q18392575		16.401666666666667,107.70277777777778
ttu_471_place_13	Vietnam	Q881		16,108
ttu_471_place_14	Vietnam	Q881		16,108
ttu_471_place_15	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_16	Vietnam	Q881		16,108
ttu_471_place_17	Vietnam	Q881		16,108
ttu_471_place_18	Vietnam	Q881		16,108
ttu_471_place_19	Suez Canal	Q899		30.705,32.344166666667
ttu_471_place_20	Charleston	Q47716		32.776111111111,-79.9325
ttu_471_place_21	Vietnam	Q881		16,108
ttu_471_place_22	Vietnam	Q881		16,108
ttu_471_place_23	Vietnam	Q881		16,108
ttu_471_place_24	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_25	Vietnam	Q881		16,108
ttu_471_place_26	Vietnam	Q881		16,108
ttu_471_place_27	Vietnam	Q881		16,108
ttu_471_place_28	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_471_place_29	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_471_place_30	Vietnam	Q881		16,108
ttu_471_place_31	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_471_place_32	An Khê	Q15179893		13.9530664,108.6569463
