id	name
ttu_454_event_0	Ia Drang-Pleiku Battles
ttu_454_event_1	World War II
ttu_454_event_2	Pearl Harbor
ttu_454_event_3	Cold Harbor
ttu_454_event_4	Battle of the Wilderness
ttu_454_event_5	2nd Manassas
ttu_454_event_6	X-Ray
ttu_454_event_7	X-Ray
ttu_454_event_8	war
ttu_454_event_9	surrender at Appomattox
ttu_454_event_10	Civil War
ttu_454_event_11	surrender at Appomattox
ttu_454_event_12	Civil War
ttu_454_event_13	Dust Bowl
ttu_454_event_14	’64 presidential election
ttu_454_event_15	Ia Drang
ttu_454_event_16	X-Ray
ttu_454_event_17	battle
ttu_454_event_18	Air Force C123 Milk Run
