id	name	QID	ttu_id	start time	end time	point in time
ttu_460_event_0	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_460_event_1	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_460_event_2	Operation Silver Bayonet	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
ttu_460_event_3	Operation Silver Bayonet	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
ttu_460_event_4	Combat at X-Ray	Q110624716		1965-11-14T00:00:00Z	1965-11-16T00:00:00Z	
ttu_460_event_5	Combat at LZ Albany	Q110624722		1965-11-17T00:00:00Z	1965-11-18T00:00:00Z	
ttu_460_event_6	Why We Are In Vietnam	Q110973594				1965-07-28T00:00:00Z
