id	placeName	QID	ttu_id	coordinate location
ttu_479_place_0	Hilton Crystal City at Washington Reagan National Airport	Q110624980		38.852191,-77.052014
ttu_479_place_1	Miami	Q8652		25.783333333333,-80.216666666667
ttu_479_place_2	Florida	Q812		28.133333333333,-81.631666666667
ttu_479_place_3	United States Military Academy	Q9219		41.39277778,-73.95833333
ttu_479_place_4	Florida	Q812		28.133333333333,-81.631666666667
ttu_479_place_5	Redstone Arsenal	Q998938		34.684166,-86.654031
ttu_479_place_6	White Sand Missile Range	Q1694811		33.239066, -106.347152
ttu_479_place_7	Vietnam	Q881		16,108
ttu_479_place_8	Vietnam	Q881		16,108
ttu_479_place_9	Texas	Q1439		31,-100
ttu_479_place_10	Redstone Arsenal	Q998938		34.684166,-86.654031
ttu_479_place_11	Huntsville	Q79860		34.713611111111,-86.586111111111
ttu_479_place_12	Charleston	Q47716		32.776111111111,-79.9325
ttu_479_place_13	Vietnam	Q881		16,108
ttu_479_place_14	Florida	Q812		28.133333333333,-81.631666666667
ttu_479_place_15	Vietnam	Q881		16,108
ttu_479_place_16	Naval Base Subic Bay	Q1458014		14.80777778,120.27805556
ttu_479_place_17	Panama Canal	Q7350		9.08,-79.68
ttu_479_place_18	San Diego	Q16552		32.715,-117.1625
ttu_479_place_19	San Diego	Q16552		32.715,-117.1625
ttu_479_place_20	Charleston	Q47716		32.776111111111,-79.9325
ttu_479_place_21	Vietnam	Q881		16,108
ttu_479_place_22	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_479_place_23	Kelley Hill	Q110888302		32.38325815053565,-84.89875257096901
ttu_479_place_24	Germany	Q183		51,10
ttu_479_place_25	Atlanta	Q23556		33.756944444444,-84.390277777778
ttu_479_place_26	Kelley Hill	Q110888302		32.38325815053565,-84.89875257096901
ttu_479_place_27	New Orleans	Q34404		29.95465,-90.07507
ttu_479_place_28	California	Q99		37,-120
ttu_479_place_29	Savannah	Q83813		32.050833333333,-81.103888888889
ttu_479_place_30	Charleston	Q47716		32.776111111111,-79.9325
ttu_479_place_31	Charleston	Q47716		32.776111111111,-79.9325
ttu_479_place_32	Victory Drive	Q65052894		
ttu_479_place_33	Columbus	Q239870		32.492222222222,-84.940277777778
ttu_479_place_34	Vietnam	Q881		16,108
ttu_479_place_35	Charleston	Q47716		32.776111111111,-79.9325
ttu_479_place_36	Cuba	Q241		22,-79.5
ttu_479_place_37	Cuba	Q241		22,-79.5
ttu_479_place_38	Panama Canal	Q7350		9.08,-79.68
ttu_479_place_39	Panama Canal	Q7350		9.08,-79.68
ttu_479_place_40	Balboa	Q2078026		8.9571238,-79.5593405
ttu_479_place_41	Mexico	Q96		23,-102
ttu_479_place_42	Honolulu	Q18094		21.304694444444443,-157.85719444444445
ttu_479_place_43	Honolulu	Q18094		21.304694444444443,-157.85719444444445
ttu_479_place_44	Vietnam	Q881		16,108
ttu_479_place_45	Waikīkī Beach	Q49325167		21.276666666667,-157.82861111111
ttu_479_place_46	Vietnam	Q881		16,108
ttu_479_place_47	Honolulu	Q18094		21.304694444444443,-157.85719444444445
ttu_479_place_48	Naval Base Subic Bay	Q1458014		14.80777778,120.27805556
ttu_479_place_49	Subic Bay	Q1542528		14.8,120.23333333333
ttu_479_place_50	Vietnam	Q881		16,108
ttu_479_place_51	An Khê	Q15179893		13.9530664,108.6569463
ttu_479_place_52	Vietnam	Q881		16,108
ttu_479_place_53	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_54	Caribbean	Q664609		16.256944,-73.300833
ttu_479_place_55	Vietnam	Q881		16,108
ttu_479_place_56	Ho Chi Minh City	Q1854		10.775555555555556,106.70194444444445
ttu_479_place_57	An Khê	Q15179893		13.9530664,108.6569463
ttu_479_place_58	Hong Kong Mountain	Q31634486		13.986162, 108.635030
ttu_479_place_59	Ba River	Q5207299		13.062375, 109.296311
ttu_479_place_60	Ba River	Q5207299		13.062375, 109.296311
ttu_479_place_61	Texas	Q1439		31,-100
ttu_479_place_62	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_479_place_63	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_479_place_64	United States of America	Q30		39.828175,-98.5795
ttu_479_place_65	Vietnam	Q881		16,108
ttu_479_place_66	Iraq	Q796		33,43
ttu_479_place_67	LZ X-Ray	Q110624850		13.567944,107.714
ttu_479_place_68	Plei Me Camp	Q110624862		13.6175,107.9175
ttu_479_place_69	Plei Me Camp	Q110624862		13.6175,107.9175
ttu_479_place_70	Plei Me Camp	Q110624862		13.6175,107.9175
ttu_479_place_71	Plei Me Camp	Q110624862		13.6175,107.9175
ttu_479_place_72	Plei Me Camp	Q110624862		13.6175,107.9175
ttu_479_place_73	LZ X-Ray	Q110624850		13.567944,107.714
ttu_479_place_74	LZ X-Ray	Q110624850		13.567944,107.714
ttu_479_place_75	Chu Pong Massif	Q65040315		13.57286132548346,107.66598001153218
ttu_479_place_76	Chu Pong Massif	Q65040315		13.57286132548346,107.66598001153218
ttu_479_place_77	Walter Reed National Military Medical Center	Q1457886		39.00194444444445,-77.09361111111112
ttu_479_place_78	Washington, D.C.	Q61		38.895,-77.036666666667
ttu_479_place_79	Jacksonville	Q16568		30.316666666667,-81.65
ttu_479_place_80	LZ X-Ray	Q110624850		13.567944,107.714
ttu_479_place_81	San Francisco	Q62		37.7775,-122.41638888888889
ttu_479_place_82	Chu Pong Massif	Q65040315		13.57286132548346,107.66598001153218
ttu_479_place_83	Vietnam	Q881		16,108
ttu_479_place_84	An Khê	Q15179893		13.9530664,108.6569463
ttu_479_place_85	Pennsylvania	Q1400		41,-77.5
ttu_479_place_86	Ho Chi Minh City	Q1854		10.775555555555556,106.70194444444445
ttu_479_place_87	Tan Son Nhat International Airport	Q478595		10.818888888889,106.65194444444
ttu_479_place_88	An Khê	Q15179893		13.9530664,108.6569463
ttu_479_place_89	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_90	Tan Son Nhat International Airport	Q478595		10.818888888889,106.65194444444
ttu_479_place_91	Vietnam	Q881		16,108
ttu_479_place_92	Tan Son Nhat International Airport	Q478595		10.818888888889,106.65194444444
ttu_479_place_93	Tan Son Nhat International Airport	Q478595		10.818888888889,106.65194444444
ttu_479_place_94	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_95	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_96	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_97	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_98	An Khê	Q15179893		13.9530664,108.6569463
ttu_479_place_99	An Tức	Q1851789		13.95,108.65
ttu_479_place_100	Lima, Florida			
ttu_479_place_101	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_479_place_102	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_479_place_103	LZ Falcon	Q110624865		13.62278,107.76417
ttu_479_place_104	Melbourne	Q949779		28.116666666667,-80.633333333333
ttu_479_place_105	LZ Falcon	Q110624865		13.62278,107.76417
ttu_479_place_106	Camp Holloway	Q5027263		13.973,108.031
ttu_479_place_107	LZ Falcon	Q110624865		13.62278,107.76417
ttu_479_place_108	Camp Holloway	Q5027263		13.973,108.031
ttu_479_place_109	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_479_place_110	85th Medevac Hospital	Q110967638		13.766131, 109.221952
ttu_479_place_111	United States of America	Q30		39.828175,-98.5795
ttu_479_place_112	Clark Airbase Hospital	Q105702522		15.1822947,120.5310336
ttu_479_place_113	Philippines	Q928		12,123
ttu_479_place_114	Clark Airbase Hospital	Q105702522		15.1822947,120.5310336
ttu_479_place_115	Walter Reed National Military Medical Center	Q1457886		39.00194444444445,-77.09361111111112
ttu_479_place_116	Clark Airbase Hospital	Q105702522		15.1822947,120.5310336
ttu_479_place_117	Clark Airbase Hospital	Q105702522		15.1822947,120.5310336
ttu_479_place_118	Tachikawa	Q269634		35.713944444444444,139.40791666666667
ttu_479_place_119	Tachikawa	Q269634		35.713944444444444,139.40791666666667
ttu_479_place_120	Tachikawa	Q269634		35.713944444444444,139.40791666666667
ttu_479_place_121	California	Q99		37,-120
ttu_479_place_122	United States of America	Q30		39.828175,-98.5795
ttu_479_place_123	85th Medevac Hospital	Q110967638		13.766131, 109.221952
ttu_479_place_124	California	Q99		37,-120
ttu_479_place_125	California	Q99		37,-120
ttu_479_place_126	California	Q99		37,-120
ttu_479_place_127	Scott Air Force Base	Q576617		38.545177777778,-89.835183333333
ttu_479_place_128	O'Fallon	Q577960		38.5975365,-89.9153623
ttu_479_place_129	Guntersville	Q79556		34.348197,-86.294523
ttu_479_place_130	Scott Air Force Base	Q576617		38.545177777778,-89.835183333333
ttu_479_place_131	Brooks Air Force Base	Q4974968		29.3417,-98.4352
ttu_479_place_132	Maxwell Air Force Base	Q1785757		32.3792,-86.3625
ttu_479_place_133	Andrews Air Force Base	Q19985418		38.8047174,-76.8762925
ttu_479_place_134	Walter Reed National Military Medical Center	Q1457886		39.00194444444445,-77.09361111111112
ttu_479_place_135	Walter Reed National Military Medical Center	Q1457886		39.00194444444445,-77.09361111111112
ttu_479_place_136	Washington, D.C.	Q61		38.895,-77.036666666667
ttu_479_place_137	Vietnam	Q881		16,108
ttu_479_place_138	85th	Q110967638		13.766131, 109.221952
ttu_479_place_139	Clark Airbase Hospital	Q105702522		15.1822947,120.5310336
ttu_479_place_140	Tachikawa	Q269634		35.713944444444444,139.40791666666667
ttu_479_place_141	California	Q99		37,-120
ttu_479_place_142	Illinois	Q1204		40.000277777777775,-89.25027777777778
ttu_479_place_143	Walter Reed National Military Medical Center	Q1457886		39.00194444444445,-77.09361111111112
ttu_479_place_144	Walter Reed National Military Medical Center	Q1457886		39.00194444444445,-77.09361111111112
ttu_479_place_145	Florida	Q812		28.133333333333,-81.631666666667
ttu_479_place_146	Alabama	Q173		32.7,-86.7
ttu_479_place_147	Huntsville	Q79860		34.713611111111,-86.586111111111
ttu_479_place_148	Washington, D.C.	Q61		38.895,-77.036666666667
ttu_479_place_149	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_479_place_150	Fort Benning	Q1438462		32.366111111111,-84.969166666667
