id	orgName	QID	ttu_id
ttu_492_org_0	Southern University	Q627271	
ttu_492_org_1	McKinley Senior High School	Q6801940	
ttu_492_org_2	1st Cavalry Division	Q2338	
ttu_492_org_3	1st Cavalry Division	Q2338	
ttu_492_org_4	1st Cavalry Division	Q2338	
ttu_492_org_5	"Company B, 1st Battalion, 7th Cavalry Regiment"	Q110874665	
ttu_492_org_6	"Company B, 1st Battalion, 7th Cavalry Regiment"	Q110874665	
ttu_492_org_7	United States Army 106th General Hospital	Q71304364	
ttu_492_org_8	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_492_org_9	1st Cavalry Division	Q2338	
ttu_492_org_10	1st Cavalry Division	Q2338	
ttu_492_org_11	United States Department of Veterans Affairs	Q592576	
ttu_492_org_12	Southern University	Q627271	
ttu_492_org_13	McKinley Senior High School	Q6801940	
ttu_492_org_14	Southern University	Q627271	
ttu_492_org_15	United States Department of Veterans Affairs	Q592576	
ttu_492_org_16	Walmart	Q483551	
ttu_492_org_17	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_492_org_18	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_492_org_19	7th Cavalry Regiment	Q269574	
ttu_492_org_20	1st Cavalry Division	Q2338	
ttu_492_org_21	1st Cavalry Division	Q2338	
ttu_492_org_22	United States Army	Q9212	
ttu_492_org_23	USS Kidd	Q201639	
ttu_492_org_24	USS Kidd	Q201639	
ttu_492_org_25	Shiloh Missionary Baptist Church	Q112135486	
ttu_492_org_26	Shiloh Missionary Baptist Church	Q112135486	
ttu_492_org_27	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
